Rank,University,Total,CS:GO,Dota 2,FIFA,Hearthstone,League of Legends,Overwatch,Rainbow 6,Rocket League,Smash,UFG,Pubg Mobile
1,University of Warwick,755,75,106,33,0,189,80,14,225,0,33,0
2,University of Portsmouth,649,106,35,0,0,133,133,44,192,2,3,1
3,University of Southampton,625,179,112,13,54,104,31,5,49,77,0,1
4,Staffordshire University,589,114,0,0,0,60,30,100,88,197,0,0
5,University of Birmingham,472,18,38,0,55,17,75,0,114,155,0,0
6,University of The West of England,469,189,0,23,0,70,75,0,111,0,0,1
7,Durham University,460,61,52,0,16,32,25,0,58,216,0,0
8,University College London,433,9,101,0,55,129,44,30,24,40,0,1
9,University of Kent,429,64,2,19,0,155,47,39,93,0,0,10
10,University of Surrey,409,83,10,2,0,193,85,2,34,0,0,0
11,University of Leeds,379,57,67,0,3,61,9,90,85,5,2,0
12,Loughborough University,372,39,14,0,0,98,0,58,157,6,0,0
13,University of Nottingham,372,21,112,50,0,112,10,2,33,20,12,0
14,Nottingham Trent University,366,82,38,33,0,17,0,25,146,0,25,0
15,Lancaster University,365,26,74,0,0,7,48,85,125,0,0,0
16,University of Bath,359,105,31,0,0,92,9,3,119,0,0,0
17,University of Lincoln,328,43,0,0,0,86,48,34,96,10,11,0
18,University of Brighton,322,60,0,0,0,69,0,1,66,126,0,0
19,Swansea University,320,172,50,0,0,6,0,79,0,2,0,11
20,University of Hertfordshire,319,100,18,0,0,118,11,10,62,0,0,0
21,Coventry University,318,35,33,0,0,77,71,82,13,6,1,0
22,University of Exeter,314,43,0,0,9,48,92,52,1,69,0,0
23,University of Reading,313,77,8,0,0,65,30,23,55,35,20,0
24,Newcastle University,312,37,12,45,0,66,3,45,74,18,0,12
25,Keele University,310,30,0,0,0,44,38,79,102,17,0,0
26,University of East Anglia,310,104,55,0,0,0,48,38,55,10,0,0
27,University of York,273,99,5,0,0,46,96,3,24,0,0,0
28,Bournemouth University,260,53,0,19,0,10,100,13,65,0,0,0
29,Brunel University,250,25,0,0,0,25,1,87,70,24,18,0
30,University of Bristol,250,30,52,0,0,76,36,0,51,5,0,0
31,University of Cambridge,237,51,13,0,100,20,50,0,3,0,0,0
32,University of Sussex,234,10,3,23,0,24,28,27,119,0,0,0
33,University of Abertay Dundee,219,51,29,0,0,91,0,18,30,0,0,0
34,Birmingham City University,216,42,0,0,0,0,0,0,48,126,0,0
35,University of Derby,214,13,38,0,0,6,5,135,17,0,0,0
36,Heriot Watt University,214,56,62,0,0,33,34,6,0,0,18,5
37,Royal Holloway University of London,213,60,11,0,0,36,0,2,55,49,0,0
38,University of Manchester,203,102,0,0,0,62,0,35,0,2,0,2
39,Kings College London,202,33,118,0,0,8,7,32,4,0,0,0
40,University of St Andrews,195,0,34,0,38,30,41,21,3,28,0,0
41,University of Salford,191,39,0,0,0,41,0,0,111,0,0,0
42,University of Leicester,183,0,95,0,0,76,0,8,0,4,0,0
43,University of Sunderland,182,16,0,59,0,11,5,33,0,58,0,0
44,Sheffield Hallam University,147,0,6,4,0,30,0,52,55,0,0,0
45,Bangor University,138,0,23,14,0,30,23,0,8,40,0,0
46,University of Liverpool,136,0,0,0,0,0,0,53,83,0,0,0
47,Northumbria University,133,64,0,0,0,28,12,11,18,0,0,0
48,Oxford University,130,0,0,0,82,0,0,0,48,0,0,0
49,De Montfort University,124,77,0,4,0,40,0,3,0,0,0,0
50,Leeds Beckett University,116,48,0,0,0,46,0,0,22,0,0,0
51,Cardiff University,115,15,7,0,0,42,15,15,21,0,0,0
52,Aberystwyth University,110,33,0,8,30,12,0,0,1,17,9,0
53,University of Chichester,102,33,0,53,0,14,0,0,0,0,2,0
54,Middlesex University,101,8,0,0,0,93,0,0,0,0,0,0
55,University of Glasgow,97,0,27,0,0,10,0,0,3,57,0,0
56,Imperial College London,90,12,0,0,0,49,3,0,22,4,0,0
57,Edge Hill University,88,62,0,0,0,4,3,19,0,0,0,0
58,Manchester Metropolitan University,88,11,0,0,0,0,18,45,0,0,0,14
59,University of Northampton,83,0,0,0,0,46,0,0,0,37,0,0
60,University of Hull,81,32,40,0,0,0,0,0,9,0,0,0
61,Roehampton University,78,0,3,0,0,53,6,16,0,0,0,0
62,University of Plymouth,75,59,0,0,0,0,0,0,12,0,4,0
63,University of Edinburgh,73,0,0,0,0,0,66,1,0,6,0,0
64,FXU (Falmouth & Exeter Student's Union),68,15,0,0,5,25,0,9,0,2,12,0
65,University Of West London,67,34,0,0,1,3,0,7,2,0,0,20
66,University Of Central Lancashire,59,0,0,0,0,59,0,0,0,0,0,0
67,Liverpool John Moores University,51,0,0,0,0,0,0,0,51,0,0,0
68,Edinburgh Napier University,50,0,0,0,0,0,0,0,0,50,0,0
69,University of Sheffield,48,0,44,0,0,0,0,0,0,4,0,0
70,Wrexham Glyndwr University,37,0,0,0,0,0,0,0,0,37,0,0
71,Aston University,34,0,0,0,0,34,0,0,0,0,0,0
72,York St John University,32,0,0,0,0,0,32,0,0,0,0,0
73,University of Greenwich,30,30,0,0,0,0,0,0,0,0,0,0
74,University Of Chester,30,0,0,0,0,0,0,30,0,0,0,0
75,Glasgow Caledonian University,28,0,0,0,0,0,0,8,0,20,0,0
76,University of Essex,25,20,0,0,0,0,0,0,5,0,0,0
77,London South Bank University,24,0,0,0,0,7,0,0,0,17,0,0
78,UCFB (University Campus of Football Business),21,0,0,17,0,4,0,0,0,0,0,0
79,Leeds College of Music,15,0,15,0,0,0,0,0,0,0,0,0
80,Queen Mary University of London,14,0,0,0,0,0,0,0,0,0,14,0
81,University of Huddersfield,11,9,0,0,0,2,0,0,0,0,0,0
82,Kingston University,8,0,0,0,0,0,0,0,0,0,0,8
83,Robert Gordon University,7,0,0,0,0,0,0,0,7,0,0,0
84,University of Stirling,7,0,0,1,0,0,0,0,0,0,0,6
85,University of Winchester,6,0,0,0,0,0,0,0,0,6,0,0
86,University Of Gloucestershire,4,4,0,0,0,0,0,0,0,0,0,0
87,University of Strathclyde,4,0,0,0,0,0,0,0,0,0,0,4
88,Anglia Ruskin University,2,0,0,0,0,0,0,0,0,2,0,0
89,Liverpool Hope University,0,0,0,0,0,0,0,0,0,0,0,0
90,University of Dundee,0,0,0,0,0,0,0,0,0,0,0,0
91,Teesside University,0,0,0,0,0,0,0,0,0,0,0,0
92,University of the Arts London,0,0,0,0,0,0,0,0,0,0,0,0
93,Southampton Solent University,0,0,0,0,0,0,0,0,0,0,0,0
94,University of South Wales,0,0,0,0,0,0,0,0,0,0,0,0
95,University of Westminster,0,0,0,0,0,0,0,0,0,0,0,0
96,Oxford Brookes University,0,0,0,0,0,0,0,0,0,0,0,0
97,Northampton College,0,0,0,0,0,0,0,0,0,0,0,0
98,London School of Economics,0,0,0,0,0,0,0,0,0,0,0,0
