Rank,University,Total,Spring,Winter,CS:GO,Dota 2,FIFA,Hearthstone,League of Legends,Overwatch,Rainbow 6,Rocket League,Smash,UFG,Pubg Mobile
1,University of Warwick,1623,755,868,223,286,33,0,297,203,14,465,40,62,0
2,Staffordshire University,1390,589,801,297,55,5,0,114,176,143,226,373,1,0
3,University of Southampton,1374,625,749,361,278,13,118,195,98,25,113,172,0,1
4,University of Portsmouth,1257,649,608,211,73,34,0,174,250,68,358,84,4,1
5,University of Birmingham,1043,472,571,47,118,0,135,70,177,1,222,257,16,0
6,University of The West of England,966,469,497,381,20,53,35,129,167,2,176,2,0,1
7,University of Kent,965,429,536,139,71,19,0,273,183,96,156,18,0,10
8,University of Leeds,923,379,544,92,177,24,53,113,67,126,205,52,14,0
9,Durham University,918,460,458,125,164,4,20,41,56,0,142,366,0,0
10,University College London,879,433,446,9,231,0,80,252,97,62,45,102,0,1
11,Loughborough University,866,372,494,76,34,0,0,255,33,89,370,9,0,0
12,University of York,841,273,568,309,31,0,10,60,229,24,65,113,0,0
13,University of Bath,835,359,476,142,68,0,0,181,42,27,253,122,0,0
14,University of Nottingham,794,372,422,21,237,166,0,188,67,2,53,48,12,0
15,Newcastle University,783,312,471,144,80,106,3,145,35,84,153,21,0,12
16,Lancaster University,781,365,416,76,193,0,0,53,98,141,220,0,0,0
17,University of Lincoln,773,328,445,71,64,31,0,198,135,59,182,14,19,0
18,University of Surrey,736,409,327,156,55,2,0,284,179,17,43,0,0,0
19,Keele University,719,310,409,65,10,66,0,126,128,113,192,19,0,0
20,Swansea University,709,320,389,307,113,40,0,23,0,141,15,56,3,11
21,University of Exeter,669,314,355,59,70,0,9,83,199,89,27,133,0,0
22,Bournemouth University,667,260,407,198,0,44,0,49,192,18,166,0,0,0
23,University of East Anglia,656,310,346,163,123,0,0,53,118,38,98,63,0,0
24,University of Reading,650,313,337,146,30,23,0,129,52,28,120,89,33,0
25,Coventry University,646,318,328,45,65,3,0,222,136,150,13,11,1,0
26,Brunel University,630,250,380,96,5,0,31,146,7,152,134,24,35,0
26,University of Bristol,630,250,380,88,103,0,0,182,113,0,72,72,0,0
28,University of Brighton,625,322,303,89,0,0,0,137,0,3,141,255,0,0
29,University of Hertfordshire,617,319,298,162,53,0,0,156,23,26,156,41,0,0
30,Nottingham Trent University,596,366,230,114,91,39,0,36,22,42,202,0,50,0
31,Kings College London,586,202,384,34,274,0,19,109,61,60,18,11,0,0
32,Heriot Watt University,542,214,328,107,137,4,0,72,141,11,1,28,36,5
33,Royal Holloway University of London,539,213,326,112,65,0,0,102,39,10,114,97,0,0
34,University of Derby,519,214,305,90,86,17,0,41,39,198,48,0,0,0
35,University of Sussex,518,234,284,13,9,23,42,42,86,39,264,0,0,0
36,University of Cambridge,486,237,249,94,57,0,170,32,122,0,11,0,0,0
37,University of Salford,457,191,266,85,0,0,0,47,0,55,268,2,0,0
37,University of Manchester,457,203,254,160,0,4,0,167,12,109,1,2,0,2
37,University of St Andrews,457,195,262,0,84,0,138,65,59,49,17,45,0,0
40,University of Abertay Dundee,447,219,228,51,91,0,0,183,66,18,30,0,8,0
41,University of Sunderland,379,182,197,37,19,143,0,26,18,39,27,70,0,0
42,Northumbria University,363,133,230,67,56,16,1,80,72,33,18,0,20,0
43,Birmingham City University,354,216,138,75,2,0,0,1,0,0,100,175,1,0
44,University of Leicester,353,183,170,0,181,0,0,76,0,16,9,71,0,0
45,Cardiff University,348,115,233,56,16,1,0,125,63,26,61,0,0,0
46,University of Liverpool,322,136,186,3,39,18,0,0,0,88,137,37,0,0
47,De Montfort University,320,124,196,157,8,18,0,103,0,34,0,0,0,0
48,Sheffield Hallam University,309,147,162,0,43,5,0,49,0,99,113,0,0,0
49,Bangor University,270,138,132,0,53,41,0,78,39,0,8,51,0,0
50,Imperial College London,261,90,171,62,61,0,14,57,7,0,35,25,0,0
51,Aberystwyth University,253,110,143,43,3,8,38,38,0,0,11,92,20,0
52,Leeds Beckett University,245,116,129,103,0,0,0,73,0,0,22,47,0,0
53,University of Chichester,230,102,128,64,0,149,0,14,0,0,0,0,3,0
53,University of Glasgow,230,97,133,0,76,26,0,13,0,15,6,94,0,0
55,Roehampton University,217,78,139,0,21,28,0,145,6,17,0,0,0,0
56,University of Hull,206,81,125,55,106,0,0,0,9,0,28,2,6,0
57,Oxford University,199,130,69,0,28,0,82,0,0,0,89,0,0,0
58,FXU (Falmouth & Exeter Student's Union),197,68,129,86,0,0,5,25,22,31,0,16,12,0
59,Manchester Metropolitan University,188,88,100,24,11,0,0,0,64,75,0,0,0,14
60,UCFB (University Campus of Football Business),185,21,164,0,0,166,0,4,0,0,15,0,0,0
61,Middlesex University,177,101,76,13,0,0,0,117,9,0,0,36,2,0
62,Glasgow Caledonian University,156,28,128,4,30,0,6,0,0,25,0,91,0,0
63,University of Edinburgh,153,73,80,0,0,0,0,0,146,1,0,6,0,0
64,University of Essex,152,25,127,54,48,0,0,0,0,1,49,0,0,0
65,University of Sheffield,130,48,82,0,44,0,0,6,0,0,0,80,0,0
66,Edge Hill University,129,88,41,87,0,0,0,11,9,22,0,0,0,0
67,University of Plymouth,124,75,49,89,0,19,0,0,0,0,12,0,4,0
68,University of Northampton,114,83,31,0,0,0,0,60,0,0,0,54,0,0
69,Edinburgh Napier University,96,50,46,0,0,0,0,0,0,0,0,96,0,0
70,University of Huddersfield,81,11,70,31,3,0,0,23,14,0,0,0,10,0
71,University Of West London,67,67,0,34,0,0,1,3,0,7,2,0,0,20
72,University of Greenwich,61,30,31,61,0,0,0,0,0,0,0,0,0,0
73,University Of Central Lancashire,59,59,0,0,0,0,0,59,0,0,0,0,0,0
74,Wrexham Glyndwr University,58,37,21,0,0,0,0,0,0,0,0,58,0,0
75,Queen Mary University of London,57,14,43,0,0,0,0,0,0,0,0,43,14,0
76,London South Bank University,56,24,32,1,0,0,0,7,0,0,0,41,7,0
77,Liverpool John Moores University,51,51,0,0,0,0,0,0,0,0,51,0,0,0
78,Aston University,45,34,11,0,0,0,0,45,0,0,0,0,0,0
79,University of Gloucestershire,39,4,35,4,0,0,0,0,0,0,0,35,0,0
80,Leeds College of Music,36,15,21,0,15,0,0,0,0,0,0,19,2,0
81,York St John University,32,32,0,0,0,0,0,0,32,0,0,0,0,0
81,Liverpool Hope University,32,0,32,0,0,0,0,0,0,0,0,32,0,0
83,University Of Chester,30,30,0,0,0,0,0,0,0,30,0,0,0,0
84,University of Dundee,18,0,18,0,0,18,0,0,0,0,0,0,0,0
85,Anglia Ruskin University,13,2,11,0,0,0,0,0,0,0,0,13,0,0
86,Teesside University,10,0,10,0,0,0,0,1,0,0,9,0,0,0
87,Kingston University,8,8,0,0,0,0,0,0,0,0,0,0,0,8
88,Robert Gordon University,7,7,0,0,0,0,0,0,0,0,7,0,0,0
88,University of Stirling,7,7,0,0,0,1,0,0,0,0,0,0,0,6
88,University of the Arts London,7,0,7,0,0,0,0,0,0,0,0,7,0,0
91,University of Winchester,6,6,0,0,0,0,0,0,0,0,0,6,0,0
92,University of Strathclyde,4,4,0,0,0,0,0,0,0,0,0,0,0,4
93,Southampton Solent University,3,0,3,0,0,0,0,0,0,3,0,0,0,0
93,University of South Wales,3,0,3,0,0,0,0,0,0,0,0,3,0,0
95,University of Westminster,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Oxford Brookes University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Northampton College,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,London School of Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0
